Member Name,Group Name,Rank
Yuqi,(G)I-DLE,1
Joy,Red Velvet,2
Seori,Seori,3
IU,soloist,4
Suyeon,Weki Meki,5
Winter,aespa,6
Binnie,OH MY GIRL,7
Tzuyu,TWICE,8
Miyeon,(G)I-DLE,9
Eunha,VIVIZ,10
Taeyeon,SNSD,11
Arin,OH MY GIRL,12
Yena,soloist,13
Sana,TWICE,14
Doyeon,Weki Meki,15
Jiho,OH MY GIRL,16
Yeri,Red Velvet,17
Siyeon,Dreamcatcher,18
Dami,Dreamcatcher,19
Handong,Dreamcatcher,20
Moonbyul,Mamamoo,1
Siyeon,Dreamcatcher,2
Ryujin,ITZY,3
Soyeon,(G)I-DLE,4
Solar,Mamamoo,5
Jiu,Dreamcatcher,6
Chaeryeong,ITZY,7
Yuqi,(G)I-DLE,8
Hyojung,OH MY GIRL,9
Swan,Purple Kiss,10
Sua,Dreamcatcher,11
Handong,Dreamcatcher,12
Goeun,Purple Kiss,13
Chaein,Purple Kiss,14
Sunny,SNSD,15
Sooyoung,SNSD,16
Bora,Cherry Bullet,17
Dayoung,WJSN,18
Nada,soloist,19
Sunmi,soloist,20
Mina,TWICE,1
Sana,TWICE,2
Dahyun,TWICE,3
Yeji,ITZY,4
IU,soloist,5
Jiho,OH MY GIRL,6
Jiu,Dreamcatcher,7
Chaeryeong,ITZY,8
Arin,OH MY GIRL,9
Solar,Mamamoo,10
Taeyeon,SNSD,11
Yooa,OH MY GIRL,12
Ryujin,ITZY,13
Soyeon,(G)I-DLE,14
Siyeon,Dreamcatcher,15
Dosie,Purple Kiss,16
Yuqi,(G)I-DLE,17
Mijoo,Lovelyz,18
Miyeon,(G)I-DLE,19
Jihan,Weeekly,20
IU ,soloist,1
Taeyeon,SNSD,2
BoA,soloist,3
Tiffany,SNSD,4
Winter,aespa,5
Tzuyu,TWICE,6
Krystal,f(x),7
Elkie,CLC,8
Hyolyn,soloist,9
Sana,TWICE,10
Cheng Xiao,WJSN,11
Hyewon,soloist,12
Bora,SIstar,13
Gahyeon,Dreamcatcher,14
Ningning,aespa,15
Lia,ITZY,16
CL,2NE1,17
Song Ji Eun,Secret,18
Eunji,Apink,19
Yuna,ITZY,20
Seulgi,Red Velvet,1
Moonbyul ,Mamamoo,2
Dami,Dreamcatcher,3
Sejeong,soloist,4
Wendy,Red Velvet,5
Chaeryeong,ITZY,6
Choerry,Loona,7
Winter,Aespa,8
Mimi,Oh My Girl,9
IU,soloist,10
Dahyun,Twice,11
Junji,Ariaz,12
Sieun,STAYC,13
Exy,WJSN,14
Eunha,Viviz,15
Chaeyeon,soloist,16
Jiu ,Dreamcatcher,17
Yoohyeon,Dreamcatcher,18
Yuri,soloist,19
Jeongyeon,Twice,20
Chuu,Loona,1
Mijoo,Lovelyz,2
Solar,Mamamoo,3
Yooa,OH MY GIRL,4
Seunghee,OH MY GIRL,5
Yuqi,(G)I-DLE,6
Hyojung,OH MY GIRL,7
Yeojin,Loona,8
Kim Lip,Loona,9
Dayoung,WJSN,10
Chaeryeong,ITZY,11
Yeji,ITZY,12
Dahyun,TWICE,13
Chungha,soloist,14
Siyeon,Dreamcatcher,15
Jiwon,fromis_9,16
SinB,GFRIEND,17
Eyedi,soloist,18
Sunmi,soloist,19
Hyewon,soloist,20
Soyeon,LABOUM,1
Taeyeon,SNSD,2
Eunji,Apink,3
Uji,Bestie,4
Haseul,Loona,5
Jisook,Rainbow,6
Jisoo,Blackpink,7
Solar,MAMAMOO,8
Hyolyn,soloist,9
Sujeong,Lovelyz,10
Sojin,Girl's Day,11
Ailee,soloist,12
Chaeyoung,fromis_9,13
Chaeryeong,ITZY,14
Jei,Fiestar,15
Eunjung,T-ara,16
Luna,f(x),17
Alice,Hello Venus,18
Bona,WJSN,19
Gain,Brown Eyed Girls,20
Nagyung,fromis_9,1
Saerom,fromis_9,2
Yiren,Everglow,3
Rayeon,Fanatics,4
Miso,Dreamnote,5
Sohee,Elris,6
Jinsoul,Loona,7
Gowon,Loona,8
Nana,woo!ah!,9
Jiu,Dreamcatcher,10
Jisoo,Lovelyz,11
Bian,Majors,12
Yuqi,(G)I-DLE,13
Sihyeon,Everglow,14
Binnie,OH MY GIRL,15
Yeonhee,Rocket Punch,16
Luda,WJSN,17
Mia,Everglow,18
Soojin,Weeekly,19
Chaeyoung,fromis_9,20
Siyeon,Dreamcatcher,1
Yoohyeon,Dreamcatcher,2
Jiu,Dreamcatcher,3
SuA,Dreamcatcher,4
Handong,Dreamcatcher,5
Dami,Dreamcatcher,6
Gahyeon,Dreamcatcher,7
Eunseo,WJSN,8
Bona,WJSN,9
Lara,Dreamnote,10
Youi,Dreamnote,11
Saerom,fromis_9,12
Hwasa,Mamamoo,13
Moonbyul,Mamamoo,14
Yuki,Purple Kiss,15
Chaein,Purple Kiss,16
SinB,VIVIZ,17
Eunha,VIVIZ,18
Yves,Loona,19
Yeji,ITZY,20
Jiho,OH MY GIRL,1
Sohee,Elris,2
Jiu,Dreamcatcher,3
Yooa,OH MY GIRL,4
Yoohyeon,Dreamcatcher,5
Sihyeon,Everglow,6
Eunseo,WJSN,7
Chaeyeon,DIA,8
Heejin,Loona,9
Eunbi,soloist,10
Binnie,OH MY GIRL,11
Arin,OH MY GIRL,12
Kei,Lovelyz,13
Yeoreum,WJSN,14
Soyeon,Laboum,15
Youi,Dreamnote,16
Lara,Dreamnote,17
Isa,StayC,18
Nana,Woo!ah!,19
Yunkyoung,Rocket Punch,20
Choerry,Loona,1
Naeun,Apink,2
Jisun,fromis_9,3
NingNing,aespa,4
Gaeul,IVE,5
Sooyoung,SNSD,6
Mina,TWICE,7
Isa,StayC,8
Mimi,OH MY GIRL,9
Gyuri,fromis_9,10
Eunseo,WJSN,11
Swan,Purple Kiss,12
Jaehee,Weeekly,13
IU,soloist,14
Solbin,Laboum,15
Yuqi ,(G)I-DLE,16
Joy,Red Velvet ,17
Wendy,Red Velvet ,18
Handong,Dreamcatcher,19
Younha,soloist,20
Hyemi,9Muses,1
Keumjo,9Muses,2
IU,soloist,3
Hyoseong,Secret,4
Minha,9Muses,5
Lee Bo-ram,Seeya,7
Hyoeun,Stellar,6
Gayoung,Stellar,8
Sojung,Ladies' Code,9
Seungah,Rainbow,10
Yoo Ara,Hello Venus,11
Hyunyoung,Rainbow,12
Jiwon,Spica,13
Sujeong,Lovelyz,14
Kei,Lovelyz,15
Gyuri,KARA,16
Yujeong,Laboum,17
Taeha,Berry Good,18
Solji,EXID,19
Sori,soloist,20
Yoon,Stayc,1
Monday,Weeekly,2
Tsuki,Billlie,3
Aisha,Everglow,4
Momoka,Pink Fantasy,5
Jo Yuri,soloist,6
Suyun,Rocket Punch,7
Dajeong,Pixy,8
Minju,soloist,9
Bora,Cherry Bullet,10
Yebin,Hot Issue,11
Dayoung,WJSN,12
Yuki,Purple Kiss,13
Ireh,Purple Kiss,14
Yeji,ITZY,15
Jiae,soloist,16
Chaeryeong,ITZY,17
Luda,WJSN,18
Yeojin,Loona,19
Hyunjin,Loona,20
Sori,soloist,1
Yuqi,(G)I-DLE,2
Monday,Weeekly,3
Chaeryeong,ITZY,4
Juri,Rocket Punch,5
Hyomin,T-ARA,6
Chaein,Purple Kiss,7
Haru,Nature,8
Sana,TWICE,9
Dayoung,WJSN,10
JooE,Momoland,11
Minyoung,Brave Girls,12
Aisha,Everglow,13
Mijoo,Lovelyz,14
Nayoung,fromis_9,15
Dia,PIXY,16
BoA,soloist,17
Ailee,soloist,18
Sora,woo!ah!,19
Youha,soloist,20
IU,soloist,1
Taeyeon,SNSD,2
Moonbyul,Mamamoo,3
Megan,fromis_9,4
Wonyoung,IVE,5
Jiho,OH MY GIRL,6
Haseul,Loona,7
Yooa,OH MY GIRL,8
Arin,OH MY GIRL,9
Sooyoung,SNSD,10
Sua,Dreamcatcher,11
Suzy,Miss A,12
Nana ,After School/Orange Caramel,13
Hani,EXID,14
Song Ji Eun,soloist,15
Jiu,Dreamcatcher,16
Sunmi,soloist,17
Hyolyn,soloist,18
Choa,soloist,19
Eunji,Apink,20
Yoohyeon,Dreamcatcher,1
Eunha,VIVIZ,2
J,STAYC,3
Dami,Dreamcatcher,4
Monday,Weeekly,5
Ryujin,ITZY,6
Jiyoon,Weeekly,7
Chaeryeong,ITZY,8
Jihan,Weeekly,9
Umji,VIVIZ,10
Gahyeon,Dreamcatcher,11
Yuna,ITZY,12
JiU,Dreamcatcher,13
Sumin,STAYC,14
Jaehee,Weeekly,15
Sieun,STAYC,16
SuA,Dreamcatcher,17
Handong,Dreamcatcher,18
Eunbi,soloist,19
Siyeon,Dreamcatcher,20
Arin,OH MY GIRL,1
Aurora,Nature,2
Doyeon,Weki Meki,3
Eunbi,soloist,4
Gahyeon,Dreamcatcher,5
Haru,Nature,6
Isa,StayC,7
Jeongyeon,TWICE,8
Jisoo,Lovelyz,9
Jisun,fromis_9,10
Juri,Rocket Punch,11
Luda,WJSN,12
Mijoo ,Lovelyz,13
Minju,soloist,14
Miso,Dreamnote,15
Monday,Weeekly,16
Ningning,aespa,17
Yeji,ITZY,18
Yooa,OH MY GIRL,19
Youha,soloist,20
Miyeon,(G)I-DLE,1
Yoohyeon,Dreamcatcher,2
Handong,Dreamcatcher,3
Eunbi,soloist,4
Karina,aespa,5
Sunmi,soloist,6
Yuna,ITZY,7
Park Jieun,Purple Kiss,8
Yuju,soloist,9
Yuki,Purple Kiss,10
Yves,Loona,11
Jo Yuri,soloist,12
Gaeul,IVE,13
Winter,aespa,14
Yeoreum,WJSN,15
Eunseo,WJSN,16
Sujeong,Lovelyz,17
Bomi,Apink,18
Sihyeon,Everglow,19
Yeonhee,Rocket Punch,20
Jiu,Dreamcatcher,1
Heejin,LOONA,2
Eunbi,soloist,7
Hyunjin,LOONA,4
Oliva Hye,LOONA,6
Hitomi,soloist,8
Yoohyeon,Dreamcatcher,3
Gahyeon,Dreamcatcher,5
Jihan,Weeekly,9
Jiyoon,Weeekly,11
Soeun,Weeekly,10
Nayoung,Lightsum,12
Chowon,Lightsum,13
Gyuri,fromis_9,19
Chaeryeong,ITZY,18
Mina,TWICE,14
Sana,TWICE,15
Yeonhee,Rocket Punch,16
Dahyun,Rocket Punch,17
Hyojung,Oh My Girl,20
Siyeon,Dreamcatcher,1
Uji,BESTie,2
JiU,Dreamcatcher,3
Handong,Dreamcatcher,4
Bora,Sistar,5
Bona,WJSN,6
Jessica,SNSD,7
Woohee,Dal Shabet,8
Subin,Dal Shabet,9
Hyoseong,Secret,10
Dami,Dreamcatcher,11
Exy,WJSN,12
Yeonjung,WJSN,13
Chungha,Chungha,14
Wendy,Red Velvet,15
Juri,Rocket Punch,16
Yunkyoung,Rocket Punch,17
Aisha,Everglow,18
Fei,Miss A,19
Kei,Lovelyz,20
IU,soloist,1
JiU,Dreamcatcher,2
Chaeryeong,Itzy,3
Arin,Oh My Girl,4
Luda,WJSN,5
Gyuri,Fromis_9,6
Eunbi,soloist,7
Sunmi,soloist,8
Mijoo,Lovelyz,9
Joy,Red Velvet,10
Chaeyeon,DIA,11
Sooyoung,SNSD,12
Yves,Loona,13
Doyeon,Weki Meki,14
Solbin,Laboum,15
Sihyeon,Everglow,16
Gayoung,Stellar,17
Momo,Twice,18
Ningning,Aespa,19
Yuki,Purple Kiss,20
